package_ndc,generic_name,dosage_form,presentation,company_name,initial_posting_date,update_date,discontinued_date,availability,status,shortage_reason,therapeutic_category,update_type,related_info,shortage,manufacturer_count,shortage_frequency,drug_shortage_frequency,log_drug_freq,complexity_Low,complexity_Medium
0409-5534-14,Sodium Bicarbonate Injection,Injection,"Sodium Bicarbonate, Injection, 5 mEq/10 mL (4.2%, 0.5 mEq/mL) Syringes (NDC 0409-5534-14)","Hospira, Inc., a Pfizer Company",2017-03-01,2026-03-27,,Unavailable,Current,Discontinuation of the manufacture of the drug,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Reverified,Discontinuation of the manufacture of the drug,1,5,2,19,2.995732273553991,False,False
0409-1304-31,Hydromorphone Hydrochloride Injection,Injection,"Hydromorphone Hydrochloride, Injection, 4 mg/1 mL Syringes (NDC 0409-1304-31)","Hospira, Inc., a Pfizer Company",2017-10-31,2026-03-27,,Unavailable,Current,Other,Analgesia/Addiction,Revised,Next Delivery: April 2026; Estimated Recovery: June 2026; Shortage per Manufacturer: Manufacturing Delay,1,4,1,26,3.295836866004329,False,False
0409-4278-01,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride, Injection, 250 mg/50 mL (0.5%; 5 mg/mL) (NDC 0409-4278-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0409-5820-01,Dopamine Hydrochloride Injection,Injection,"Dopamine Hydrochloride, Injection, 200 mg/5mL (40 mg/1 mL) (NDC 0409-5820-01)","Hospira, Inc., a Pfizer Company",2017-11-06,2026-03-27,,Available,Current,Unavailable,Cardiovascular,Reverified,,0,3,1,12,2.5649493574615367,False,False
0409-3189-10,Rocuronium Bromide Injection,Injection,"Rocuronium Bromide, Injection, 50 mg/5 mL (10 mg/mL) (NDC 0409-3189-10)","Hospira, Inc., a Pfizer Company",2023-02-15,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,11,1,26,3.295836866004329,False,False
0009-0280-51,Methylprednisolone Acetate Injection,Injection,"Depo-medrol, Injection, 40 mg/1 mL (NDC 0009-0280-51)",Pfizer Inc.,2021-12-15,2026-03-27,,Available,Current,Unavailable,Rheumatology,Reverified,,0,5,1,23,3.1780538303479458,False,False
0409-1163-01,Bupivacaine Hydrochloride Injection,Injection,"Bupivacaine Hydrochloride, Injection, 250 mg/50 mL (5 mg/mL) (NDC 0409-1163-01)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-5160-10,Rocuronium Bromide Injection,Injection,"Rocuronium Bromide, Injection, 100 mg/10 mL (10 mg/mL) (NDC 0409-5160-10)","Hospira, Inc., a Pfizer Company",2023-02-15,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,11,1,26,3.295836866004329,False,False
0409-4713-02,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride Preservative Free, Injection, 50 mg/5 mL (1%; 10 mg/mL) (NDC 0409-4713-02)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0409-6625-14,Sodium Bicarbonate Injection,Injection,"Sodium Bicarbonate, Injection, 50 mEq/50 mL (8.4%, 1 mEq/mL) (NDC 0409-6625-14)","Hospira, Inc., a Pfizer Company",2017-03-01,2026-03-27,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Reverified,,0,5,1,19,2.995732273553991,False,False
0409-4282-01,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride, Injection, 40 mg/2 mL (2%; 20 mg/mL) (NDC 0409-4282-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0409-3815-12,Morphine Sulfate Injection,Injection,"Morphine Sulfate, Injection, 10 mg/10 mL (1 mg/mL) (NDC 0409-3815-12)","Hospira, Inc., a Pfizer Company",2017-10-31,2026-03-27,,Limited Availability,Current,Other,Analgesia/Addiction,Revised,Limited Supply Available. Next Delivery: June 2026; Estimated Recovery: June 2027; Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,1,5,1,25,3.258096538021482,False,False
0409-1749-10,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Marcaine With Epinephrine, Injection, Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000) (NDC 0409-1749-10)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,2,1,20,3.044522437723423,False,False
0409-3182-01,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Lidocaine Hydrochloride And Epinephrine, Injection, 400 mg/20 mL (2%; 1:100,000) (NDC 0409-3182-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Other,"Anesthesia, Pediatric",Revised,Next Delivery and Estimated Recovery: December 2028; Shortage per Manufacturer: Manufacturing Delay,1,2,1,22,3.1354942159291497,False,False
0409-1162-02,Bupivacaine Hydrochloride Injection,Injection,"Bupivacaine Hydrochloride, Injection, 150 mg/30 mL (5 mg/mL) (NDC 0409-1162-02)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-3613-01,Bupivacaine Hydrochloride Injection,Injection,"Bupivacaine Hydrochloride, Injection, Bupivacaine Spinal 15 mg/2 mL (7.5 mg/mL in 8.25% dextrose) (NDC 0409-3613-01)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Unavailable,Current,Other,Anesthesia,Revised,Next Delivery and Estimated Recovery: June 2026; Shortage per Manufacturer: Manufacturing Delay,1,6,1,42,3.7612001156935624,False,False
0409-1181-30,Meperidine Hydrochloride Injection,Injection,"Demerol, Injection, 50 mg/1 mL (NDC 0409-1181-30)","Hospira, Inc., a Pfizer Company",2025-05-30,2026-03-27,,Available,Current,Unavailable,Analgesia/Addiction,Reverified,,0,2,1,10,2.3978952727983707,False,False
0409-1560-29,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 150 mg/30 mL (5 mg/mL) (NDC 0409-1560-29)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-4776-01,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride Preservative Free, Injection, 300 mg/20 mL (1.5%; 15 mg/mL) (NDC 0409-4776-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0409-5555-01,Sodium Bicarbonate Injection,Injection,"Sodium Bicarbonate, Injection, 2.5 mEq/5 mL (4.2%, 0.5 mEq/mL) (NDC 0409-5555-01)","Hospira, Inc., a Pfizer Company",2017-03-01,2026-03-27,,Unavailable,Current,Other,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Revised,Next Delivery and Estimated Recovery: September 2026; Shortage per Manufacturer: Manufacturing Delay,1,5,1,19,2.995732273553991,False,False
0409-1749-29,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Marcaine With Epinephrine, Injection, Marcaine with Epinephrine 1:200,000 as the bitartrate 150 mg/30 mL (5 mg/mL 1:200,000) (NDC 0409-1749-29)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,2,1,20,3.044522437723423,False,False
0409-3183-01,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Lidocaine Hydrochloride And Epinephrine, Injection, 400 mg/20 mL (2%; 1:200,000) (NDC 0409-3183-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Other,"Anesthesia, Pediatric",Revised,Next Delivery: June 2026; Estimated Recovery: September 2026; Shortage per Manufacturer: Manufacturing Delay,1,2,1,22,3.1354942159291497,False,False
0409-1582-10,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 75 mg/10 mL (7.5 mg/mL) (NDC 0409-1582-10)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Unavailable,Current,Other,Anesthesia,Revised,Next Delivery and Estimated Recovery: March 2026; Shortage per Manufacturer: Manufacturing Delay,1,6,1,42,3.7612001156935624,False,False
61703-408-41,Methotrexate Sodium Injection,Injection,"Methotrexate Sodium, Injection, 1 g/40 mL (25 mg/mL) (NDC 61703-408-41)","Hospira, Inc., a Pfizer Company",2023-03-13,2026-03-27,,Available,Current,Unavailable,"Rheumatology, Oncology",Reverified,,0,5,1,14,2.70805020110221,False,False
0409-4283-01,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride Preservative Free, Injection, 200 mg/5 mL (4%; 40 mg/mL) (NDC 0409-4283-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0409-9094-22,Fentanyl Citrate Injection,Injection,"Fentanyl Citrate, Injection, 100 mcg/2 mL (50 ug/1 mL) (NDC 0409-9094-22)","Hospira, Inc., a Pfizer Company",2012-01-01,2026-03-27,,Available,Current,Unavailable,"Analgesia/Addiction, Pediatric",Reverified,,0,3,1,19,2.995732273553991,False,False
0409-3178-03,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Lidocaine Hydrochloride And Epinephrine, Injection, 500 mg/50 mL (1%; 1:100,000) (NDC 0409-3178-03)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Limited Availability,Current,Other,"Anesthesia, Pediatric",Revised,Limited Supply Available. Next Delivery: May 2026; Estimated Recovery: September 2026; Shortage per Manufacturer: Manufacturing Delay,1,2,1,22,3.1354942159291497,False,False
0409-2308-02,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride Preservative Free, Injection, 10 mg/2 mL (5 mg/mL) (NDC 0409-2308-02)","Hospira, Inc., a Pfizer Company",2020-04-02,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Neurology",Reverified,,0,6,1,30,3.4339872044851463,False,False
0409-4277-02,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride In Plastic Container, Injection, 1,000 mg/50 mL (2%; 20 mg/mL) (NDC 0409-4277-02)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0009-3475-01,Methylprednisolone Acetate Injection,Injection,"Depo-medrol, Injection, 80 mg/1 mL (NDC 0009-3475-01)",Pfizer Inc.,2021-12-15,2026-03-27,,Available,Current,Unavailable,Rheumatology,Reverified,,0,5,1,23,3.1780538303479458,False,False
0409-1587-50,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 125 mg/50 mL (2.5 mg/mL) (NDC 0409-1587-50)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Unavailable,Current,Other,Anesthesia,Revised,Next Delivery and Estimated Recovery: March 2026; Shortage per Manufacturer: Manufacturing Delay,1,6,1,42,3.7612001156935624,False,False
0409-2344-02,Dobutamine Hydrochloride Injection,Injection,"Dobutamine Hydrochloride, Injection, 250 mg/20mL (12.5 mg/1 mL) (NDC 0409-2344-02)","Hospira, Inc., a Pfizer Company",2017-11-06,2026-03-27,,Available,Current,Unavailable,"Cardiovascular, Pediatric, Renal",Reverified,,0,4,1,11,2.4849066497880004,False,False
0409-7809-22,Dopamine Hydrochloride Injection,Injection,"Dopamine Hydrochloride In Dextrose 5% In Plastic Container, Injection, 400 mg/250 mL (1.6 mg/1 mL) (NDC 0409-7809-22)","Hospira, Inc., a Pfizer Company",2017-11-06,2026-03-27,,Available,Current,Unavailable,Cardiovascular,Reverified,,0,3,1,12,2.5649493574615367,False,False
0409-3299-25,Sodium Acetate Injection,Injection,"Sodium Acetate, Injection, 200 mEq/100 mL (2 mEq/mL) (NDC 0409-3299-25)","Hospira, Inc., a Pfizer Company",2016-02-03,2026-03-27,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Pediatric, Total Parenteral Nutrition",Reverified,,0,4,1,12,2.5649493574615367,False,False
0409-1891-01,Morphine Sulfate Injection,Injection,"Morphine Sulfate, Injection, 4 mg/1 mL Syringes (NDC 0409-1891-01)","Hospira, Inc., a Pfizer Company",2017-10-31,2026-03-27,,Limited Availability,Current,Other,Analgesia/Addiction,Revised,Limited Supply Available. Next Delivery: March 2026; Estimated Recovery: June 2026; Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,1,5,1,25,3.258096538021482,False,False
0409-3299-26,Sodium Acetate Injection,Injection,"Sodium Acetate, Injection, 100 mEq/50 mL (2 mEq/mL) (NDC 0409-3299-26)","Hospira, Inc., a Pfizer Company",2016-02-03,2026-03-27,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Pediatric, Total Parenteral Nutrition",Reverified,,0,4,1,12,2.5649493574615367,False,False
61703-408-25,Methotrexate Sodium Injection,Injection,"Methotrexate Sodium, Injection, 1 g/40 mL (25 mg/mL) (NDC 61703-408-25)","Hospira, Inc., a Pfizer Company",2023-03-13,2026-03-27,,Available,Current,Unavailable,"Rheumatology, Oncology",Reverified,,0,5,1,14,2.70805020110221,False,False
0409-1176-30,Meperidine Hydrochloride Injection,Injection,"Demerol, Injection, 25 mg/1 mL (NDC 0409-1176-30)","Hospira, Inc., a Pfizer Company",2025-05-30,2026-03-27,,Unavailable,Current,Other,Analgesia/Addiction,Revised,Next Delivery and Estimated Recovery: June 2026; Shortage per Manufacturer: Manufacturing Delay,1,2,1,10,2.3978952727983707,False,False
0009-0870-26,Clindamycin Phosphate Injection,Injection,"Cleocin Phosphate, Injection, Cleocin Phosphate 300 mg/2 mL (150 mg/mL) (NDC 0009-0870-26)",Pfizer Inc.,2023-03-21,2026-03-27,,Available,Current,Unavailable,Anti-Infective,Reverified,,0,4,1,20,3.044522437723423,False,False
0409-6695-01,Etomidate Injection,Injection,"Amidate, Injection, 2 mg/1 mL (NDC 0409-6695-01)","Hospira, Inc., a Pfizer Company",2022-10-05,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,19,2.995732273553991,False,False
0409-3178-01,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Lidocaine Hydrochloride And Epinephrine, Injection, 200 mg/20 mL (1%; 1:100,000) (NDC 0409-3178-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Other,"Anesthesia, Pediatric",Revised,Next Delivery and Estimated Recovery: December 2028; Shortage per Manufacturer: Manufacturing Delay,1,2,1,22,3.1354942159291497,False,False
0409-4903-34,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride, Injection, 100 mg/5mL (2%, 20 mg/1 mL) Syringes (NDC 0409-4903-34)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Discontinuation of the manufacture of the drug,"Anesthesia, Pediatric",Reverified,Discontinuation of the manufacture of the drug,1,10,2,70,4.2626798770413155,False,False
0409-4904-34,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride, Injection, 50 mg/5mL (1%,10 mg/1 mL) Syringes (NDC 0409-4904-34)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Discontinuation of the manufacture of the drug,"Anesthesia, Pediatric",Reverified,Discontinuation of the manufacture of the drug,1,10,2,70,4.2626798770413155,False,False
0009-3073-22,Methylprednisolone Acetate Injection,Injection,"Depo-medrol, Injection, 40 mg/1 mL (NDC 0009-3073-22)",Pfizer Inc.,2021-12-15,2026-03-27,,Available,Current,Unavailable,Rheumatology,Reverified,,0,5,1,23,3.1780538303479458,False,False
0409-1560-10,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 50 mg/10 mL (5 mg/mL) (NDC 0409-1560-10)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-3299-05,Sodium Acetate Injection,Injection,"Sodium Acetate, Injection, 100 mEq/50 mL (2 mEq/mL) (NDC 0409-3299-05)","Hospira, Inc., a Pfizer Company",2016-02-03,2026-03-27,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Pediatric, Total Parenteral Nutrition",Reverified,,0,4,1,12,2.5649493574615367,False,False
0409-7620-59,Heparin Sodium Injection,Injection,"Heparin Sodium, Injection, 2,000 Units/1,000 mL (2 Units/mL) (NDC 0409-7620-59)","Hospira, Inc., a Pfizer Company",2017-11-14,2026-03-27,,Available,Current,Unavailable,Hematology,Reverified,,0,4,1,10,2.3978952727983707,False,False
61703-350-10,Methotrexate Sodium Injection,Injection,"Methotrexate Sodium, Injection, 50 mg/2 mL  (25 mg/mL) (NDC 61703-350-10)","Hospira, Inc., a Pfizer Company",2023-03-13,2026-03-27,,Available,Current,Unavailable,"Rheumatology, Oncology",Reverified,,0,5,1,14,2.70805020110221,False,False
0409-1582-29,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 225 mg/30 mL (7.5 mg/mL) (NDC 0409-1582-29)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-3795-01,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0409-3795-01)","Hospira, Inc., a Pfizer Company",2018-03-26,2026-03-27,,Limited Availability,Current,Other,Analgesia/Addiction,Revised,Limited Supply Available. Next Delivery and Estimated Recovery: June 2027,1,7,1,25,3.258096538021482,False,False
0409-3724-32,Dobutamine Hydrochloride Injection,Injection,"Dobutamine Hydrochloride In Dextrose 5% In Plastic Container, Injection, 1,000 mg/250mL (400 mg/mL) (NDC 0409-3724-32)","Hospira, Inc., a Pfizer Company",2017-11-06,2026-03-27,,Unavailable,Current,Other,"Cardiovascular, Pediatric, Renal",Revised,Next Delivery: April 2026; Estimated Recovery: June 2026; Shortage per Manufacturer: Manufacturing Delay,1,4,1,11,2.4849066497880004,False,False
60793-700-10,Penicillin G Benzathine Injection,Injection,"Bicillin L-A, Injection, 600000 [iU]/1 mL (NDC 60793-700-10)",Pfizer Inc.,2023-04-26,2026-03-27,,Limited Availability,Current,Other,Anti-Infective,Revised,Next Delivery: October 2027; Estimated Recovery: December 2027; Shortage per Manufacturer: Manufacturing Delay,1,2,1,4,1.6094379124341003,False,False
0409-3793-01,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 0409-3793-01)","Hospira, Inc., a Pfizer Company",2018-03-26,2026-03-27,,Unavailable,Current,Other,Analgesia/Addiction,Revised,Next Delivery and Estimated Recovery: June 2027,1,7,1,25,3.258096538021482,False,False
0409-1890-01,Morphine Sulfate Injection,Injection,"Morphine Sulfate, Injection, 2 mg/1 mL Syringes (NDC 0409-1890-01)","Hospira, Inc., a Pfizer Company",2017-10-31,2026-03-27,,Limited Availability,Current,Other,Analgesia/Addiction,Revised,Limited Supply Available. Next Delivery: March 2026; Estimated Recovery: June 2026; Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,1,5,1,25,3.258096538021482,False,False
0409-6102-02,Furosemide Injection,Injection,"Furosemide, Injection, 20 mg/2 mL (10 mg/1 mL) (NDC 0409-6102-02)","Hospira, Inc., a Pfizer Company",2020-04-07,2026-03-27,,Available,Current,Unavailable,Cardiovascular,Reverified,,0,9,1,33,3.5263605246161616,False,False
0409-1660-20,Dexmedetomidine Hydrochloride Injection,Injection,"Precedex, Injection, 80 mcg/20 mL (4 mcg/mL) (NDC 0409-1660-20)",Pfizer Inc.,2020-04-10,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,14,1,52,3.970291913552122,False,False
0009-3475-03,Methylprednisolone Acetate Injection,Injection,"Depo-medrol, Injection, 80 mg/1 mL (NDC 0009-3475-03)",Pfizer Inc.,2021-12-15,2026-03-27,,Available,Current,Unavailable,Rheumatology,Reverified,,0,5,1,23,3.1780538303479458,False,False
61703-339-50,Carboplatin Injection,Injection,"Carboplatin, Injection, 450 mg/45 mL (10 mg/mL) (NDC 61703-339-50)","Hospira, Inc., a Pfizer Company",2023-04-28,2026-03-27,,Available,Current,Unavailable,Oncology,Reverified,,0,8,1,29,3.4011973816621555,False,False
0409-3182-03,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Lidocaine Hydrochloride And Epinephrine, Injection, 1 g/50 mL (2%; 1:100,000) (NDC 0409-3182-03)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,2,1,22,3.1354942159291497,False,False
0409-1559-30,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 75 mg/30 mL (2.5 mg/mL) (NDC 0409-1559-30)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-7838-24,Dexmedetomidine Hydrochloride Injection,Injection,"Precedex, Injection, 200 mcg/50 mL (NDC 0409-7838-24)",Pfizer Inc.,2020-04-10,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,14,1,52,3.970291913552122,False,False
0409-7809-24,Dopamine Hydrochloride Injection,Injection,"Dopamine Hydrochloride In Dextrose 5% In Plastic Container, Injection, 800 mg/500 mL (1.6 mg/1 mL) (NDC 0409-7809-24)","Hospira, Inc., a Pfizer Company",2017-11-06,2026-03-27,,Unavailable,Current,Other,Cardiovascular,Revised,Next Delivery and Estimated Recovery: December 2027; Shortage per Manufacturer: Manufacturing Delay,1,3,2,12,2.5649493574615367,False,False
0409-4276-02,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride In Plastic Container, Injection, 500 mg/50 mL (1%; 10 mg/mL) (NDC 0409-4276-02)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,,0,10,1,70,4.2626798770413155,False,False
0023-6150-04,Progesterone Vaginal Gel,Vaginal Gel,"Crinone, Vaginal Gel, 4% (NDC 0023-6150-04)",AbbVie Inc.,2026-03-27,2026-03-27,2026-03-27,,To Be Discontinued,Unavailable,Urology,New,Discontinuation of the manufacture of the drug,0,1,1,1,0.6931471805599453,False,True
0409-2596-03,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride, Injection, 25 mg/5 mL (5 mg/mL) (NDC 0409-2596-03)","Hospira, Inc., a Pfizer Company",2020-04-02,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Neurology",Reverified,,0,6,1,30,3.4339872044851463,False,False
0409-4911-34,Atropine Sulfate Injection,Injection,"Atropine Sulfate, Injection, (Adult)1 mg/10 mL (0.1 mg/mL) LifeShield® ABBOJECT® Glass Syringe (20 G x 1 1/2) (NDC 0409-4911-34)""","Hospira, Inc., a Pfizer Company",2012-01-01,2026-03-27,,Unavailable,Current,Discontinuation of the manufacture of the drug,"Anesthesia, Neurology, Pediatric",Reverified,Discontinuation of the manufacture of the drug,1,7,2,18,2.9444389791664403,False,False
0409-0155-02,Dexmedetomidine Hydrochloride Injection,Injection,"Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-0155-02)",Pfizer Inc.,2020-04-10,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,14,1,52,3.970291913552122,False,False
0009-3073-23,Methylprednisolone Acetate Injection,Injection,"Depo-medrol, Injection, 40 mg/1 mL (NDC 0009-3073-23)",Pfizer Inc.,2021-12-15,2026-03-27,,Available,Current,Unavailable,Rheumatology,Reverified,,0,5,1,23,3.1780538303479458,False,False
0009-0775-26,Clindamycin Phosphate Injection,Injection,"Cleocin Phosphate, Injection, Cleocin Phosphate 600 mg/4 mL (150 mg/mL) (NDC 0009-0775-26)",Pfizer Inc.,2023-03-21,2026-03-27,,Unavailable,Current,Other,Anti-Infective,Revised,Next Delivery: April 2026; Estimated Recovery: June 2026; Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,1,4,1,20,3.044522437723423,False,False
0409-4275-01,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride In Plastic Container, Injection, 250 mg/50 mL (0.5%; 5 mg/mL) (NDC 0409-4275-01)","Hospira, Inc., a Pfizer Company",2012-02-22,2026-03-27,,Unavailable,Current,Other,"Anesthesia, Pediatric",Revised,Next Delivery and Estimated Recovery: March 2026; Shortage per Manufacturer: Manufacturing Delay,1,10,1,70,4.2626798770413155,False,False
0409-2634-50,Hydromorphone Hydrochloride Injection,Injection,"Hydromorphone Hydrochloride, Injection, 500 mg/50 mL (10 mg/mL) (NDC 0409-2634-50)","Hospira, Inc., a Pfizer Company",2017-10-31,2026-03-27,,Available,Current,Unavailable,Analgesia/Addiction,Reverified,,0,4,1,26,3.295836866004329,False,False
0409-1418-01,Meperidine Hydrochloride Injection,Injection,"Demerol, Injection, 50 mg/1 mL (NDC 0409-1418-01)","Hospira, Inc., a Pfizer Company",2025-05-30,2026-03-27,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Next Delivery and Estimated Recovery: December 2027,1,2,1,10,2.3978952727983707,False,False
0409-1165-02,Bupivacaine Hydrochloride Injection,Injection,"Bupivacaine Hydrochloride, Injection, 225 mg/30 mL (7.5 mg/mL) (NDC 0409-1165-02)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-1180-69,Meperidine Hydrochloride Injection,Injection,"Demerol, Injection, 100 mg/1 mL (NDC 0409-1180-69)","Hospira, Inc., a Pfizer Company",2025-05-30,2026-03-27,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Next Delivery and Estimated Recovery: December 2027,1,2,1,10,2.3978952727983707,False,False
0409-9094-28,Fentanyl Citrate Injection,Injection,"Fentanyl Citrate, Injection, 500 mcg/10 mL (50 ug/1 mL) (NDC 0409-9094-28)","Hospira, Inc., a Pfizer Company",2012-01-01,2026-03-27,,Available,Current,Unavailable,"Analgesia/Addiction, Pediatric",Reverified,,0,3,1,19,2.995732273553991,False,False
0409-1559-10,Bupivacaine Hydrochloride Injection,Injection,"Marcaine, Injection, Marcaine 25 mg/10 mL (2.5 mg/mL) (NDC 0409-1559-10)","Hospira, Inc., a Pfizer Company",2018-02-20,2026-03-27,,Available,Current,Unavailable,Anesthesia,Reverified,,0,6,1,42,3.7612001156935624,False,False
0409-9630-05,Atropine Sulfate Injection,Injection,"Atropine Sulfate, Injection, 0.25 mg/5 mL (0.05 mg/mL) Syringes (NDC 0409-9630-05)","Hospira, Inc., a Pfizer Company",2012-01-01,2026-03-27,,Available,Current,Unavailable,"Anesthesia, Neurology, Pediatric",Reverified,,0,7,1,18,2.9444389791664403,False,False
